Address,Amt per m²,Balcony,District,Elevator,Floor,Location,Monthly Pay,Municipality,Patio,Price,Size in m²,Total Rooms,Latitude,Longitude,lat_2,long_2,Distance
Vibblabyvägen 42,21625.0,True,Jakobsberg,False,2.0,"Jakobsberg,Järfälla",9833.0,Järfälla kommun,False,2595000,120.0,4.0,59.4235736,17.8298965,59.3324,18.0645,16.713653389630768
Råsundavägen 61,73414.63414634146,False,Vasalund,False,1.0,"Vasalund,Solna",2548.0,Solna kommun,False,3010000,41.0,2.0,59.3658426,18.004028332690382,59.3324,18.0645,5.057623444582338
Torsvikssvängen 41,71481.48148148147,True,Torsvik,True,6.0,"Torsvik,Lidingö",2763.0,Lidingö kommun,False,3860000,54.0,2.0,59.3644675,18.1185149,59.3324,18.0645,4.7000698570429424
Starrbäcksgatan 11A,66962.02531645569,True,Centrala,True,3.0,"Centrala,Sundbyberg",4420.0,Sundbybergs kommun,False,5290000,79.0,3.0,59.3665985,17.9620925,59.3324,18.0645,6.939794228801597
Bollmoravägen 12,34436.09022556391,True,Centrala Tyresö,True,1.0,"Centrala Tyresö,Tyresö",4043.0,Tyresö kommun,False,2290000,66.5,3.0,59.2465967,18.2303373,59.3324,18.0645,13.405850959341494
Björnsonsgatan 337,49098.360655737706,False,Bromma,True,1.0,"Bromma,Stockholm",4049.0,Stockholms kommun,False,2995000,61.0,3.0,59.3436563,17.8822413,59.3324,18.0645,10.410729256322963
Wiboms väg 25,60000.0,False,Västra Skogen,False,4.0,"Västra Skogen,Solna",2602.0,Solna kommun,False,2670000,44.5,1.0,59.3484653,17.9972167,59.3324,18.0645,4.212632619677312
Pippi Långstrumps gata 46,62916.66666666666,True,Bromma,True,5.0,"Bromma,Stockholm",3187.0,Stockholms kommun,False,3020000,48.0,2.0,59.3662431,17.948103446807604,59.3324,18.0645,7.595924962267976
Mäster Simons väg 6A,57952.75590551181,True,Ritorp,True,3.0,"Ritorp,Solna",4918.0,Solna kommun,False,3680000,63.5,3.0,59.3773377,18.012034,59.3324,18.0645,5.814740718781655
Erik Tegels väg 19,31217.391304347828,True,Spånga,False,1.0,"Spånga,Stockholm",3448.0,Stockholms kommun,False,1795000,57.5,2.0,59.3820964,17.9158129,59.3324,18.0645,10.077012112288914
Johan Tillanders väg 39,57984.49612403101,True,Bromma,True,4.0,"Bromma,Stockholm",4551.0,Stockholms kommun,False,3740000,64.5,3.0,59.3428203,17.874122395333334,59.3324,18.0645,10.8577422631422
